,Marque,Kilométrage,Année-Modèle,Modèle,Type de carburant,Puissance fiscale,Boite de vitesses,Prix,Age_de_voiture
1,Mercedes-Benz,125000,2021.0,Classe A,Diesel,8,Automatique,360000,3
2,Mercedes-Benz,155000,2019.0,Classe A,Diesel,6,Automatique,390000,5
5,Opel,155000,2013.0,Astra,Diesel,6,Manuelle,112000,11
7,Audi,47500,2020.0,A3,Diesel,8,Automatique,275000,4
18,Volkswagen,52500,2018.0,Tiguan,Hybride,8,Automatique,250000,6
25,Renault,57500,2019.0,megane_4,Diesel,6,Manuelle,175000,5
26,Fiat,62500,2016.0,500,Essence,7,Automatique,93000,8
29,Volkswagen,225000,2016.0,Touran,Diesel,6,Manuelle,209000,8
34,Mercedes-Benz,92500,2017.0,Classe C,Diesel,9,Automatique,299000,7
35,Volkswagen,195000,2017.0,PASSAT CC,Diesel,8,Automatique,175000,7
37,Hyundai,47500,2022.0,Tucson,Diesel,6,Automatique,288000,2
45,Hyundai,92500,2020.0,Tucson,Diesel,6,Automatique,245000,4
46,Volkswagen,135000,2019.0,Caddy,Diesel,8,Manuelle,162000,5
47,Kia,22500,2017.0,Picanto,Essence,6,Manuelle,94000,7
48,Opel,42500,2020.0,Astra,Diesel,6,Automatique,187000,4
50,Peugeot,155000,2019.0,308,Diesel,6,Manuelle,130000,5
51,Citroen,67500,2022.0,C3,Diesel,6,Manuelle,159000,2
52,Volkswagen,97500,2017.0,Passat,Diesel,8,Manuelle,199000,7
53,Ford,52500,2018.0,Focus,Diesel,6,Manuelle,179000,6
61,Volkswagen,115000,2015.0,GOLF 7,Diesel,8,Manuelle,197000,9
62,Volkswagen,92500,2017.0,GOLF 7,Diesel,8,Automatique,300000,7
63,Peugeot,72500,2021.0,308,Diesel,6,Automatique,200000,3
68,Peugeot,72500,2021.0,208,Diesel,6,Manuelle,157000,3
69,Kia,165000,2015.0,Sportage,Diesel,8,Automatique,145000,9
